manufacturer,device,has_jack,has_loudspeaker,has_stereo,has_dual,average_dollar_price,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_cpu_count,platform_cpu_speed_ghz,memory_internal_storage,memory_ram,main_camera_single_mp
yezz,yezz_go_3,1,1,0,0,53.5,2021,1,1350,1,125.7,63.5,84.5,2,0,1,0,0,1,0,oled,60,4,44.1,55.3,360,640,184,android,4,1.3,8,1,5
yezz,yezz_epic_3,1,1,0,0,74.9,2022,1,2500,0,189.5,107.5,250,0,0,0,0,0,0,0,tn lcd,60,7,137.9,67.7,600,1024,170,android,4,1.5,32,2,5
yezz,yezz_epic_t,1,1,0,0,267.5,2018,1,9000,0,168.8,86.5,469,2,0,1,0,0,1,0,ips lcd,60,5.5,83.4,57.1,1080,1920,401,android,8,1,32,3,16
yezz,yezz_max_1,1,1,0,0,64.2,2018,1,2000,1,139,65.8,120,2,0,1,0,0,1,0,tft,60,5,64.5,70.5,480,960,215,android,4,1.3,16,2,8
yezz,yezz_liv1,1,1,0,0,53.5,2019,1,2000,1,138.5,65.8,133.3,2,0,1,0,0,1,0,tft lcd,60,5,64.5,70.8,480,960,215,android,4,1.3,16,1,5
yezz,yezz_liv_1s,1,1,0,0,53.5,2021,1,2000,1,141.2,66.7,137,2,0,1,0,0,1,0,ips lcd,60,4.95,63,67.1,480,960,217,android,4,1.3,16,1,5
yezz,yezz_max_2,1,1,0,0,64.2,2022,1,2500,1,146.5,71.5,170,2,0,1,1,0,1,0,ips lcd,60,5.45,76.7,73.2,480,960,197,android,4,1.45,32,1,8
yota,yota_yotaphone_2,1,1,0,0,160.5,2014,1,2500,0,144.9,69.4,145,0,0,1,0,0,0,0,amoled,60,5,68.6,68.2,1080,1920,442,android,4,2.3,32,2,8
yota,yota_yotaphone,1,1,0,0,449.4,2012,1,1800,0,133.6,67,146,0,0,0,1,0,0,0,ips lcd,60,4.3,51,56.9,720,1280,342,android,2,1.7,32,2,13
yu,yu_ace,1,1,0,0,72,2018,1,4000,1,148,70.5,159,2,0,1,0,0,1,0,ips lcd,60,5.45,76.7,73.5,720,1440,295,android,4,1.5,32,3,13
yu,yu_yuphoria,1,1,0,0,96.3,2015,1,2230,1,142.4,73,143,2,0,0,1,0,1,0,ips lcd,60,5,68.9,66.3,720,1280,294,android,4,1.2,16,2,8
yu,yu_yutopia,1,1,1,0,449.4,2015,1,3000,0,146.6,72.7,159,2,0,1,1,0,1,1,ips lcd,60,5.2,74.5,69.9,1440,2560,565,android,8,1.5,32,4,21
yu,yu_yunique,1,1,0,0,74.9,2015,1,2000,0,134.5,67.5,128,2,0,0,1,0,1,0,ips lcd,60,4.7,60.9,67.1,720,1280,312,android,4,1.2,8,1,8
yu,yu_yunicorn,1,1,0,0,192.6,2016,1,4000,0,153.3,75.4,172,2,0,1,0,0,1,1,ips lcd,60,5.5,83.4,72.1,1080,1920,401,android,8,1,32,4,13
yu,yu_yunique_2,1,1,0,0,72,2017,1,2500,1,145,72.7,159,2,0,0,1,0,1,0,ips lcd,60,5,68.9,65.4,720,1280,294,android,4,1.3,16,2,13
yu,yu_yureka_note,1,1,1,0,192.6,2016,1,4000,0,159,84.1,184,2,0,0,1,0,1,1,ips lcd,60,6,99,74.2,1080,1920,367,android,8,1.5,16,3,13
yu,yu_yureka_black,1,1,0,0,108,2017,1,3000,0,142,69.6,152,2,0,1,0,0,1,1,ips lcd,60,5,68.9,69.7,1080,1920,441,android,8,1.4,32,4,13
yu,yu_yureka_s,1,1,0,0,181.9,2016,1,3000,0,154.8,78,172,2,0,0,1,0,1,1,ips lcd,60,5.2,74.5,61.7,1080,1920,424,android,8,1.1,16,3,13
zte,zte_blade_a54,1,1,0,0,96.3,2023,1,5000,0,164,75.8,185,2,0,1,0,0,1,0,ips lcd,90,6.6,104.6,84.2,720,1612,267,android,8,1.2,128,4,0.08
zte,zte_nubia_red_magic_tablet,0,1,1,0,535,2023,1,10000,0,279.7,181.9,613,0,0,1,0,0,0,0,ips lcd,144,12.1,424.5,83.4,1600,2560,249,android,8,1.8,512,16,13
zte,zte_nubia_red_magic_3,1,1,1,0,535,2019,1,5000,0,171.7,78.5,215,2,0,1,0,0,1,0,amoled,90,6.65,108.6,80.5,1080,2340,388,android,8,1.78,256,12,48
zte,zte_nubia_red_magic,1,1,0,0,428,2018,1,3800,0,158.1,74.9,185,2,0,1,0,0,1,0,ips lcd,60,6,92.9,78.5,1080,2160,402,android,8,1.9,128,8,24
